;title;text;label
0;Sanders back in U.S. Senate
168;Mother of Rwandan president's challenger tells court of torture;KIGALI (Reuters) - The mother and sister of a prominent critic of Rwanda s president said on Friday all three of them had been tortured and deprived of food as they were held in jail on charges of forgery and inciting insurrection. Adeline Rwigara told a court she and her daughters were handcuffed day and night. She is being held alongside her daughter Diane Shima Rwigara
169;Mexico enshrines army's role in drug war with divisive law;MEXICO CITY (Reuters) - Mexico s Congress on Friday approved a law that enshrines the use of the army in the country s long war against drug cartels
"170;Ohio's 'dirty little secret': blue-collar Democrats for Trump;""CANTON"
171;Egypt detains 29 people on suspicion of espionage for Turkey;CAIRO (Reuters) - Egypt s public prosecutor has ordered the detention of 29 people suspected of espionage on behalf of Turkey and joining a terrorist organization
172;Glowing profile cracks door open on private life of China's Xi;BEIJING (Reuters) - A workaholic keen swimmer with an extensive knowledge of foreign literature   China s state news agency Xinhua on Friday cracked open the door to President Xi Jinping s private life in an unusual and glowing profile. The private lives of senior Chinese leaders have traditionally been shrouded in secrecy
173;WATCH WHAT HAPPENS WHEN CHRISTIAN MAN ASKS 13 GAY BAKERIES TO MAKE PRO-TRADITIONAL MARRIAGE CAKE [Video];I was wondering if I could get a cake that says:  Gay marriage is wrong.  The tolerant answers that follow this question show the astounding hypocrisy of the left.Say that  Bestiality Is Wrong  or  Polygamy Is Wrong  and it s not considered hate speech
174; Did Mike Pence Use The Police To Illegally Suppress The Vote Of Tens Of Thousands Of Black People In Indiana?;Right in the middle of the nine thousand scandals swirling around Donald Trump comes one about his running mate
175;The N-Word Flies As Racists Attack 49er’s Quarterback For Protesting Police Treatment Of Blacks;Just remember
"176;GUESS WHERE THE BALTIMORE SCHOOL SYSTEM RANKS AMONG THE NATION’S 100 LARGEST SCHOOL DISTRICTS?;""Holy smokes! Could someone tell Obama he doesn t need to dump more money into the Baltimore school system. I think they need to point the finger somewhere else The Baltimore school system ranked second among the nation s 100 largest school districts in how much it spent per pupil in fiscal year 2011"
177; America Laughs At Melania Trump For Hypocritically Whining About Cyberbullying;As her husband continues to bully people on Twitter
178; Trump Threatens Public University Because Protesters Didn’t Let A Racist Bully Deliver His Hate Speech;Donald Trump is getting thrashed on the Internet right now for threatening a public university.Milo Yiannopoulos was going to speak at the University of California-Berkeley on Wednesday but the school chose to cancel the event after massive protests broke out on campus against the speech.Yiannopoulos is a racist right-wing bully who hates strong women. He is associated with the  Alt-Right  movement that includes white nationalists
179;EU tells easterners to take in refugees;BRUSSELS (Reuters) - Eastern European Union states must drop their resistance and accept their share of refugees who arrived in the bloc
"180;they said what find out what paul krugman aretha franklin and willie nelson have to say;""email 
in case this election wasnt already infuriating enough heres something thats really going to make your blood boil with hours to go before polls close voter watchdog groups across the country are reporting that many laser tag establishments are staying open today 
this is seriously alarming news 
in what appears to be a concerted effort to prevent americans from casting their ballots on time dozens of laser tag locations are keeping normal business hours on election day inviting one and all to enjoy nonstop laser tag action with all the coolest terrain and equipment 
if true this could represent voter suppression on an unprecedented scarcely conceivable scale its appalling to see laser tag placessome of them located within blocks of polling stations in swing statesdeploying everything from signs to roadside billboards to social media posts in an attempt to stop americans from exercising their civic duty just take a look at this truly disgusting tweet 
george washington is rolling over in his grave right now 
according to leanne holst spokesman for the watchdog group voter vigilance laser tag may only be the tip of the iceberg 
some of these laser tag facilities are continuing to operate roller rinks hole mini golf courses and gokart tracks in a shameless ploy to lure voters as far as possible from the booths said holst its an utterly transparent tactic and the saddest thing is just how effective it can be laser tag arenas represent a grave immediate threat to the democratic process 
below via voter vigilance is a partial ongoing list of laser tag places that have not closed for election day and several with the sheer audacity to offer offpeak daytime discounts lightspeed gokarts  laser tag greenfield wi code red laser tag dallasfort worth tx laser tag kingdom monroe nh qzar carle place ny laser quest numerous locations nationwide zap zone sterling heights mi battle blast laser tag las vegas nv lazer kraze laser tag erlanger ky 
if you know of a laser tag place in your district that remains open today do not be silent post their names and pictures in the comments so that we can put a stop to this assault on democracy before any further damage is done"";0"
181;Federal judge in Hawaii extends court order blocking Trump travel ban;HONOLULU (Reuters) - A federal judge in Hawaii indefinitely extended on Wednesday an order blocking enforcement of President Donald Trump’s revised  ban on travel to the United States from six predominantly Muslim countries. U.S. District Judge Derrick Watson turned an earlier temporary restraining order into a preliminary injunction in a lawsuit brought by the state of Hawaii challenging Trump’s travel directive as unconstitutional religious discrimination.  Trump signed the new ban on March 6 in a bid to overcome legal problems with a January executive order that caused chaos at airports and sparked mass protests before a Washington judge stopped its enforcement in February. Trump has said the travel ban is needed for national security. In its challenge to the travel ban
182;North Korea meeting seeks 'better ideas' to solve crisis: Canada;OTTAWA (Reuters) - An international meeting in Canada on North Korea in January is designed to produce  better ideas  to ease tensions over Pyongyang s nuclear and ballistic missile tests
"183;The economy of Wolfgang Schaeuble - at a glance;""LONDON (Reuters) - Wolfgang Schaeuble"
184;Mistrial declared in corruption case against ex-Los Angeles sheriff;LOS ANGELES (Reuters) - A federal judge declared a mistrial on Thursday in the obstruction of justice case against former Los Angeles County Sheriff Lee Baca
185;Skeptical lawmakers pressure Comey on Trump wiretap claim;WASHINGTON (Reuters) - A key Republican lawmaker said on Wednesday he did not believe the Obama administration wiretapped Trump Tower during the 2016 election campaign
186;New Polish PM: must defend national interest in debate on EU future;WARSAW (Reuters) - Poland should defend its national identity and interests at a time when the European Union is debating its own future
187; WATCH: Ivanka Trump Gets SKEWERED By Saturday Night Live For Helping Her Crazy Dad;Ivanka Trump is complicit in what her father Donald Trump is doing to America and Saturday Night Live hilariously made sure everyone knows about it.In yet another classic commercial spoof
"188;anger in nato eu as syriabound russian carrier group mulls stopover at spanish port;""us
wholesale inventories growth weakest since  even as auto stocks soar httpwwwzerohedgecomnewswholesaleinventoriesgrowthweakestevenautostockssoar
rents are too damn high nyc retail vacancies soar as commercial rents start to rollover httpwwwzerohedgecomnewsretailrenttoodamnhighnycretailvacanciessoarrentsclimb
empty space haunts fifth avenue as retailers balk at rent hikes httpwwwbloombergcomnewsarticlesemptyspacehauntsfifthavenueasretailersbalkatrenthikes
america is building more threecar garages than onebedroom apartments httpwwwbloombergcomnewsarticlesyoullneverbehomelessinamericaifyoureacar
college is still getting more expensive  tuition and fees at private and public schools alike keep rising faster than inflation httpwwwbloombergcomnewsarticlescollegeisstillgettingmoreexpensivewhatcanstopit
gundlach says look out for exploding deficits in  httpwwwbloombergcomnewsarticlesgundlachsayslookoutforexplodingdeficitsin
southwest tumbles on bleak outlook httpwwwbloombergcomnewsarticlessouthwestairlinesprofitexceedsestimatesonhigherdemand
mcdonalds turnaround fails to get more customers in door httpwwwbloombergcomnewsarticlesmcdonaldsturnaroundfailstogetmorecustomersinthedoor
the secs beef with shadow banks could be bad for some businesses httpwwwbloombergcomnewsarticlesshadowbanksonwallstreetturfconfrontseconlendingrules
markets
stock funds suffer biggest outflow since  hedge funds most since  httpwwwzerohedgecomnewsstockfundssufferbiggestoutflowhedgefundsmost
stocks pumpndump as crude crumbles to week lows httpwwwzerohedgecomnewsstockspumpndumpcrudecrumblesweeklows
stocks stall as oil retraces inventory spike tumbles to  handle httpwwwzerohedgecomnewsstocksstalloilretracesinventoryspiketumbleshandle
global stocks us futures drop on apple disappointment sliding crude httpwwwzerohedgecomnewsglobalstocksusfuturesdropappledisappointmentslidingcrude
wall street reacts to apples disappointing earnings httpwwwzerohedgecomnewswallstreetreactsapplesdisappointingearnings
investors panic buy stocks into the green on oil spike to  httpwwwzerohedgecomnewsinvestorspanicbuystocksgreenoilspike
we are late in the game david rosenberg on the markets flashing red signs httpwwwzerohedgecomnewswearelategamedavidrosenbergmarketsflashingredsigns
the boredom before the storm httpwwwzerohedgecomnewsboredomstorm
earnings magic exposed httpwwwzerohedgecomnewsearningsmagicexposed
bonds
lack of demand greets sale of  year treasuries in another tailing auction httpwwwzerohedgecomnewslackdemandgreetssaleyeartreasuriesanothertailingauction
euro zone
reuters trial balloon ecb almost certain to keep buying bonds beyond march httpwwwzerohedgecomnewsreuterstrialballoonecbalmostcertainkeepbuyingbondsbeyondmarch
uk
goldman sachs still thinks sterling is  too expensive httpwwwbloombergcomnewsarticlesgoldmansachsstillthinkssterlingispercenttooexpensive
london house prices forecast to plunge as brexit chokes market httpwwwbloombergcomnewsarticleslondonhousepricesforecasttoplungeasbrexitchokesmarket
marks  spencer said to retreat from paris amid ceos cost drive httpwwwbloombergcomnewsarticlesmarksspencersaidtoretreatfromparisamidceoscostdrive
two exboe deputy governors said to be questioned in sfo probe httpwwwbloombergcomnewsarticlestwoexboedeputygovernorssaidtobequestionedinsfoprobe
egypt
hyperinflation looms as black market egyptian pound crashes to record low httpwwwzerohedgecomnewshyperinflationloomsblackmarketegyptianpoundcrashesrecordlow
india
ousted tata boss warns group faces  billion in writedowns httpwwwbloombergcomnewsarticlestatasoustedchiefwarnsgroupfacesbillioninwritedownsiuqqqev
china
chinese bank liabilities rise above  trillion yuan for the first time httpwwwzerohedgecomnewschinesebankliabilitiesriseabovetrillionyuanfirsttime
japan
japan opens up to foreign workers just dont call it immigration httpwwwbloombergcomnewsarticlesawaryjapanquietlyopensitsbackdoorforforeignworkers
bojs jgb purchase target is seen fading away before too long httpwwwbloombergcomnewsarticlesbojsjgbpurchasetargetisseenfadingawaybeforetoolongiuqnlji"";0"
189;Trump pulls just ahead in two key U.S. states: poll;WASHINGTON (Reuters) - Republican Donald Trump pulled ahead of Democratic presidential rival Hillary Clinton in Florida and Pennsylvania in a Quinnipiac Poll released on Wednesday that included responses after the FBI released its findings on Clinton’s email use. Clinton lost ground on honesty and moral standards in the poll that showed tight races in Florida
190; Trump LOSES IT
191;U.S. lawmakers question Mylan's Medicaid EpiPen rebates;(Reuters) - Two key U.S. congressional committee members on Friday called for an investigation into whether Mylan NV
192;Syrian opposition says U.N. talks are in 'great danger';GENEVA (Reuters) - The international community must do more to persuade the Syrian government to negotiate in U.N.-led talks
"193;video female college students protesting because trump is a rapist;""november   by shawn helton leave a comment 
shawn helton st century wire 
antitrump street protests linked to the soros funded organization moveonorg have cascaded across the nation for the third day following the  presidential election result 
mainstream media outlets like cnn and msnbc have given the protests aroundtheclock media coverage drowning out all other news stories including a successful transition meeting between the president elect and president barack obama 
outsider vs insider manufactured social unrest incited after announcement of trump presidency photo illustration wires shawn helton 
the free thought project weighed in on the new developments concerning a series of centrally coordinated antitrump protests organized in part by by the george soros ngo moveon 
washington dc  billionaire globalist financier george soros moveonorg has been revealed to be a driving force behind the organizing of nationwide protests against the election of donald trump  exposing the protests to largely be an organized topdown operation  and not an organic movement of concerned americans taking to the streets as reported by the mainstream media 
wednesday saw protests in the streets of at least  major us cities chicago new york los angeles philadelphia boston washington dc portland ore st paul minn seattle  and several other cities saw protests according to usa today 
in light of the protests and rioting that have transpired since the election of trump a closer analysis of the dynamic at play is warranted to gauge whether its an organic grassroots movement or something much more organized sophisticated and potentially dangerous 
soros affiliated organization moveonorg released the following press release yesterday afternoon 
americans to come together in hundreds peaceful gatherings of solidarity resistance and resolve following election results 
hundreds of americans dozens of organizations to gather peacefully outside the white house and in cities and towns nationwide to take a continued stand against misogyny racism islamophobia and xenophobia 
tonight thousands of americans will come together at hundreds of peaceful gatherings in cities and towns across the nation including outside the white house following the results of tuesdays presidential election 
the gatherings  organized by moveonorg and allies  will affirm a continued rejection of donald trumps bigotry xenophobia islamophobia and misogyny and demonstrate our resolve to fight together for the america we still believe is possible 
within two hours of the calltoaction moveon members had created more than  gatherings nationwide with the number continuing to grow on wednesday afternoon 
soros agitprop empire 
last year during the ongoing european migrant crisis startling claims were levied by hungarian pm victor orban left photo concerning the role played by soros 
pm orban contended that the founder and chair of open society foundations open society institute was entrenched in a  circle of activists that inadvertently become part of this international humansmuggling network 
the stunning declaration by orban recalled the misguided machinations of the occupy movement  aka ows in  as well as the soros funded protests in ferguson missouri in  along with other black lives matter protests this past year  all of which were uniquely designed to push naive participants along with paid provocateurs into violent action and social unrest 
back in january moveon publicly endorsed the bernie sanders campaign in what appeared to be a call to action for blm associated groups seen backing sanders its worth mentioning that moveon also supported the obama campaign in  and according to the website sanders was the only other candidate to reach the threshold for an endorsement 
as we said back in march professional political agitator flash mobs had been mobilized at future trump campaign events making it very difficult to run a normal campaign  as activists attempted to take away trumps strength in numbers at his rallies this was confirmed at events in both ohio and at a trump primary campaign event the university of illinois chicago earlier this year where hundreds of blm activists and sanders supporters triggered voilent clashes inside the venue and even stormed the stage  shortly after trump started speaking then again at reno he was birddogged just prior to his election forcing secret service to escort trump away 
in a politico article in early  entitled  major donors consider funding black lives matter  we gained deeper insight into the political funding for blm and the soros linked democratic alliance 
major donors are usually not as radical or confrontational as activists most in touch with the pain of oppression said steve phillips a democracy alliance member and significant contributor to democratic candidates and causes he donated to a st louis nonprofit group called the organization for black struggle that helped organize  black lives matterrelated protests in ferguson missouri over the police killing of a black teenager named michael brown and phillips and his wife democracy alliance board member susan sandler are in discussions about funding other groups involved in the movement 
it worth noting how soros a long time contributor to hillary clinton donated  million in pac money in  and january of  soros reportedly gave  million to boost clintons campaign  soros also recently funded  million to latino groups looking to stop trumps rise towards a potential gop nomination and beyond 
look for these political engineers to pit choreographed conservative and liberal groups against each other across the country  as all of these hostile uprisings are designer engineered by party linked alliances 
social engineering political memes and staged political flash mobs have been sparked by media ngos and social media image source abc news  
during the last month it was revealed how investigative nonprofit project veritas found evidence that the dnc paid participants to incite violence at trump rallies during the course of the  election 
if those reports are accurate  reports which have gone unchallenged so far  this would be in violation of both election bylaws and also us criminal law 
paid protest social justice warriors incite antitrump violence across the us image source youtube  
usa color revolutions 
both the purpose of these types of agitation activities seems to be to first cause a public disruption and also to foment are a form of modern class warfare these political protests are designed in such a way as to disguise its true intentions ultimately a radical globalist and cultural marxist progressive agenda is at play  eroding the legitimacy of a democratically elected government through a series of artificial color upheavals and where possible  weakening a countrys national sovereignty through forced dependency on multilateral globalist institutions like the un or imf while presenting shock and awe imagery in order to manipulate the publics political perspective 
this is how the us and its cia conduct their destablization color revolution campaigns overseas  and now astute observers will be able to see these exact same methods being deployed here inside the us 
overseas washington tends to use the same cast of ngo fronts to buildup prous political opposition groups as well as plan and generate civil unrest they include the albert einstein institute aei national endowment for democracy ned international republican institute iri national democratic institute ndi freedom house and later the international center for nonviolent conflict icnc and the us agency for international development usaid the financial and contractor arm of the department of state 
inside the us deep state actors in washington generally work through democratic party affiliated organizations like moveonorg  as well as through labor union organizations like aflcio  and unite here  these along with many other similar organizations have been involved in organizing this weeks protests 
it still remains to be seen if trumps stated dynamic political vision for america can unite an embattled nation by restoring international relations throughout the world in addition to helping economic woes at home or will it simply push the country further into authoritarianism this remains to be seen 
certainly judging by president obama and hillary clintons total silence over their own partys role in fomenting this weeks unrest  one can only conclude that both party leaders approve of the protests and riots the political motivation is undeniable  to help delegitimize a new trump presidency 
but one thing is for sure  theres no doubt now that a systematic design is in place to unsettle the th president and the public should question why 
legal action against soros groups 
in a recent report featured at rt news we learn that george soros and blm activists will be sued for the deaths of slain police officers in dallas and baton rouge the father of the dallas police officer who was killed by a lone gunman during a black lives matter protest is suing the organizations activists and george soros for  million  in a separate suit a baton rouge police officer is suing for injuries sustained during a blm protest 
the father of patrick zamarripa filed a lawsuit against black lives matter and other groups for allegedly inciting a war on police that led to the death of his son 
the lawsuit filed in us district court in dallas on monday seeks  million in damages 
while defendant black lives matter claims to combat antiblack racism the lawsuit said according to the fort worth star telegram the movement has in fact incited and committed further violence severe bodily injury and death against police officers of all races and ethnicities jews and caucasians defendant black lives matter is in fact a violent and revolutionary criminal gang 
the misguided machinations behind the antitrump protests have dominated any peaceful transition into power for the presidentelect will these protest groups be a reboot of the ows movement occupying the masses with their own hateful rhetoric as we move into  and beyond 
more from the duran below 
neo black bloc black bloc provocateurs have violently escalated protest movements since the s all the way through s occupy wall street movement and beyond the riotous scene above is from the antitrump protests in portland image source willamette week  
george soros begins his color revolution in america as moveon activists march against trump 
by alex christoforou the duran 
antitrump protesters march through the streets of new york shouting not my president 
moveonorg is a george soros ngoand george soros ngos have nothing to do with charity or justice and everything to do with political leverage and in extreme cases government insurrection 
we have seen soros begin destructive movements to remove those he deems unsuitable to govern in a variety of countries most recently in ukraine with the soros sponsored maidan coup 
now it looks like soros may be setting his sights on sabotaging the forthcoming trump presidency 
we do know thanks to wikileaks that george soros was a huge supporter of hillary clinton as hillary clinton was always looking out of george soros best interests 
we are certain trumps victory is a bitter pill for globalist soros to swallow between putin and trump soros may finally be starting to feel his power on the world stage falter 
more from duran here  
read more election news at st century wire  files 
support wire  subscribe  become a member wiretv"";0"
194;Mid Summer Anger: Oliver Stone Waxes US Establishment’s Russia Conspiracy Theory;EDITOR S NOTE: We recognize the following eloquent rant posted on Oliver Stone s Facebook page as being of high integrity and congenial to boot. America
195;As Brexit clock ticks down
196;Trump
197; Donald Trump Attacks Obama
198;House panel has not subpoenaed Trump lawyer Michael Cohen: sources;WASHINGTON (Reuters) - The U.S. House Intelligence Committee has not issued a subpoena to President Donald Trump’s personal lawyer
199;ABC NEWS: Emails Show Hillary’s Top Aide Arranged “Special Seating” At State Dinner For Top Clinton Donors [VIDEO];This woman should be in a jail cell not sitting around laughing and opening pickle jars on the Jimmy Fallon show. Judicial Watch s release this week of 725 pages of State Department emails involving Hillary Clinton aide Huma Abedin demonstrates the Obama administration considers a large percentage of the emails sent through Clinton s private server too sensitive for Congress or the American public to read.Of the 725 pages
200;Philippines' Duterte lauds China's help at 'crucial moment' in Marawi battle;MANILA (Reuters) - Philippine President Rodrigo Duterte on Wednesday heaped praise on visiting Chinese Premier Li Keqiang for what he said was China s  critical  role in expediting the end of a five-month war with Islamist insurgents in a Philippine town. Duterte credited China with supplying what he said was the rifle that on Oct. 16 killed Islamic State s regional point man
"201; African-American Rep. Plays Racist Calls Received After Calling For Trump Impeachment (AUDIO);""Congressman Al Green (D-Texas) thinks"
202; Report: Hillary Wants Joe Biden For HUGE Role In White House;A new report indicates that Vice President Joe Biden s long tenure in Washington
203;no title;josh why dont you just stop talking and sit down the american people are fed up with the spewing of lies coming from this administration its over the destruction of our country has come to an end the people have spoken and the time for change has been a long time coming as trump would say its time to drain the swamp;1
204;REPORT: Trump And Companies Tied To Over 100 Lawsuits
205;U.N. chief says statesmanship needed on North Korea
206;WATCH: 20 Years Ago
"207;without cholesterol we would die;""wed oct th  at  pm the comment came hours after trump promised a new deal for black america share on twitter print this post 
after pretending he cared about earning the votes of african americans donald trump kicked a black man out of a rally in north carolina on wednesday calling him a thug while doing so protester escorted out of rally trump to protester were you paid  to be a thug were you paid you can get him out pictwittercomjukujyubh 
 bryan anderson bryanranderson october   
trumps insulting and racially tinged rhetoric came hours after he was in charlotte reaching out to the africanamerican community and promising a new deal for black america if elected president 
the republican nominee has insulted africanamerican voters throughout much of the campaign often calling their communities hell and claiming they only live in areas riddled with crime and crumbling schools 
of course in true trump form he didnt just use tasteless rhetoric insulting to the africanamerican community at his rally he also took a shot at syrian refugees trump in kinston nc the refugee program would leave us with generations of terrorism radicalism and extremism inside our shores 
 ashley killough killoughcnn october   
if youre keeping score at home african americans who stand up to trumps offensive campaign message are thugs and syrian refugees who come to the united states  in most cases women and children simply seeking a better life  are terrorists who will do damage to our country for generations 
a man who has such disdain for so many americans has no business being president of the united states"";0"
208;Court ruling favors Ghana in ocean border dispute with Ivory Coast;DAKAR/ACCRA (Reuters) - The International Tribunal for the Law of the Sea on Saturday drew an ocean boundary favoring Ghana in a dispute with its neighbor Ivory Coast
209;Britain's Prime Minister May to speak with Donald Trump: spokesman;LONDON (Reuters) - U.S. President Donald Trump and British Prime Minister Theresa May will speak in a call scheduled for later on Tuesday
210;BREAKING: VIDEO OF YOUNG OBAMA EMERGES Discussing Mentor Frank Marshall Davis’ Advice About Growing Up In A White Racist World;Who needs family when you have a neighborhood mentor who can teach you the value of racism
211; Uncle Tom CNN Guest Attacks Larry Wilmore: ‘What If Someone Called Sanders The K-Word?’ (VIDEO);There s often much debate about the use of the n-word in any of its forms. You hear in rap music
212;Russia's Lavrov
213;WATCH: NEW MOVIE Black Lives Matter Terrorists DON’T Want You To See…What REALLY Happened In FERGUSON Courtroom;We ve written about the amazing filmmaker
214;North Korea to make announcement at 0330 GMT: Yonhap;SEOUL (Reuters) - North Korea will make an announcement at 0330 GMT
215;Trump fires his national political director: campaign sources;NEW YORK (Reuters) - U.S. Republican presidential candidate Donald Trump has fired his national political director after six weeks on the job
216;WATCH: 10-YR OLD BOY Offers To Mow White House Lawn…President Trump Accepts…Invites Him To White House;Note to media: If you won t report the good things surrounding Trump s spectacular 6 months in office
217;LAW ENFORCEMENT ON HIGH ALERT Following Threats Against Cops And Whites On 9-11By #BlackLivesMatter And #FYF911 Terrorists [VIDEO];No comment is expected from Barack Obama Members of the #FYF911 or #FukYoFlag and #BlackLivesMatter movements called for the lynching and hanging of white people and cops. They encouraged others on a radio show Tuesday night to  turn the tide  and kill white people and cops to send a message about the killing of black people in America.One of the F***YoFlag organizers is called  Sunshine.  She has a radio blog show hosted from Texas called
218;WOW! New Evidence Shows Event That Sparked Mizzou Racism Controversy Likely Never Happened;It looks like it s safe for everyone to pack up their little victim tents and head back to the dorms Something stinks at the University of Missouri.A reported incident of vandalism at Mizzou sparked university-wide protests
219; The Internet Brutally Mocks Disney’s New Trump Robot At Hall Of Presidents;A new animatronic figure in the Hall of Presidents at Walt Disney World was added
220;Senate to act this week on Obamacare repeal
221;Trump order frees tax-exempt churches to be more politically active;(Reuters) - U.S. President Donald Trump signed an executive order on Thursday that allows tax-exempt churches to more actively participate in politics and could free religious organizations to deny employees insurance coverage for birth-control pills. The order partially fulfills an oft-repeated campaign promise by Trump
222; Watch Ben Carson Tell CNN He’s Ready To Use Magic ‘Truth Serum’ Instead Of Torture (VIDEO);After Donald Trump declared that he would do far worse things than waterboarding
223;Lebanon's Jumblatt criticizes Saudi over Hariri;BEIRUT (Reuters) - Top Lebanese Druze politician Walid Jumblatt on Friday criticized the way Prime Minister Saad al-Hariri had been treated by  some Saudi circles 
224;links zwo drei vier;sonntag  november  sonntagsfrage wer soll nächster bundespräsident werden am  februar  wird im reichstagsgebäude der nächste bundespräsident gewählt während angela merkel in berlin noch verzweifelt ihre alten adressbücher nach möglichen kandidaten durchforstet können sie ja schonmal loslegen in dieser woche will der bellevueillon unterstützt durch representation control  von ihnen wissen und hier noch die unglaublich spannenden ergebnisse der letzten sonntagsfrage stimmen gesamt  was machen sie heute mit der zusätzlichen stunde topantworten  ich überlege welche antwort ich in der sonntagsfrage auswähle    stimmen  ich erwähne das wort fleisch einem veganer gegenüber    stimmen  ich habe großartigen sex und lese in den restlichen  minuten ein schönes buch    stimmen artikel teilen;0
225;GRANNY CLINTON GOES WAY LEFT: Fear Mongering On The Cause Of Hurricane Hermine;Who wrote this garble for granny Clinton? She s off her rocker! Yes
226;House banking panel passes bill to undo U.S. financial crisis rules;WASHINGTON (Reuters) - A House banking panel on Thursday passed a controversial bill that would drastically change how the U.S. government regulates the financial sector. With support only from the panel’s Republicans
227;Kremlin says expects to agree date for Trump-Putin phone call soon;MOSCOW (Reuters) - The Kremlin said on Monday it expected to soon agree a date for the first phone call between President Vladimir Putin and U.S. President Donald Trump
"228;defense board white house blocked navy from s china sea warship passages;""liberty blitzkrieg october   
the name peter kadzik probably doesnt ring a bell for many of you although it probably should this guy is a real piece of work as an excellent article published earlier today at the daily caller demonstrates 
heres some of what we learned 
the day after hillary clinton testified in front of the house select committee on benghazi last october john podesta the democrats campaign chairman met for dinner with a small group of wellconnected friends including peter kadzik a top official at the justice department 
the dinner arrangement revealed in hacked podesta emails released by wikileaks is just the latest example of an apparent conflict of interest between the clinton campaign and the federal agency charged with investigating the former secretary of states email practices 
podesta and kadzik the assistant attorney general for legislative affairs were in frequent contact other emails show in one email from january kadzik and podesta who were classmates at georgetown law school in the s discussed plans to celebrate podestas birthday and in another sent last may kadziks son emailed podesta asking for a job on the clinton campaign 
the political appointees in the obama administration especially in the department of justice appear to be very partisan in nature and i dont think had clean hands when it comes to the investigation of the private email server says matthew whitaker the executive director of the foundation for accountability and civic trust a government watchdog group 
kadzik who started at the doj in  helped spearhead the effort to nominate lynch who was heavily criticized for her secret meeting with the former president 
kadzik represented podesta during the monica lewinsky investigation and in the waning days of the bill clinton administration kadzik lobbied podesta on behalf of marc rich the fugitive who bill clinton controversially pardoned on his last day in office 
in a sept  email  which the washington free beacon flagged last week podesta emailed an obama campaign official to recommend kadzik for a supportive role in the campaign 
podesta who would later head up the obama white house transition effort wrote that kadzik was a fantastic lawyer who kept me out of jail 
podesta made false statements to a grand jury impaneled by independent counsel kenneth starr for the investigation but he defended the falsehoods saying later that he was merely relaying false information from clinton that he did not know was inaccurate at the time 
he did lie to me podesta said about clinton in a national public radio interview in  clinton was acquitted by the senate in feb  of perjury and obstruction of justice charges related to the lewinsky probe 
kadzik then a lawyer with the firm dickstein shapiro morin  oshinsky represented podesta through the fiasco 
podesta had been promoted to clintons chief of staff when he and kadzik became embroiled in another scandal 
kadzik was then representing marc rich a billionaire financier who was wanted by the us government for evading a  million tax bill the fugitive who was also implicated in illegal trading activity with nations that sponsored terrorism had been living in switzerland for  years when he sought the pardon 
to help rich kadzik lobbied podesta heavily in the weeks before clinton left office on jan   
a house oversight committee report released in may  stated that kadzik was recruited into marc richs lobbying campaign because he was a longtime friend of white house chief of staff john podesta 
the report noted that kadzik contacted podesta at least seven times regarding richs pardon 
on top of the allhandsondeck lobbying effort richs exwife denise rich had doled out more than  million to the clintons and other democrats prior to the pardon she gave  to hillary clintons new york senate campaign and another  to the clinton presidential library 
the first mention of personal contact between podesta and kadzik in the wikileaks dump is in an oct   email sent out by vincent roberti a lobbyist who is close to podesta and his superlobbyist brother tony podesta in it roberti refers to a dinner reservation at posto a washington dc restaurant 
the dinner was set for  that evening just a day after clinton gave  hours of testimony to the benghazi committee 
podesta and kadzik met several months later for dinner at podestas home another email shows  and in an email sent on may   kadziks son asked podesta for a job on the clinton campaign 
ill have the lobster risotto with a side of cronyism and middle class destruction 
as head of the office of legislative affairs kadzik handles inquiries from congress on a variety of issues in that role he was not in the direct chain of command on the clinton investigation 
the justice department and fbi have insisted that career investigators oversaw the investigation which concluded in july with no charges filed against clinton 
but kadzik worked on other clinton email issues in his dealings with congress 
last november he denied a request from republican lawmakers to appoint a special counsel to lead the investigation 
seems like a pretty important decision for a clinton crony to make 
the justice department declined to comment on the record for this article 
could the department of injustice have any less credibility 
for more on the shameless and shady fbi investigation into hillary clinton see"";0"
229;U.S. weighs whether to stay in Iran nuclear deal;UNITED NATIONS (Reuters) - The United States said on Wednesday it is weighing whether the Iranian nuclear deal serves its security interests even as Iran said it did not expect Washington to abandon the agreement. A collapse of the 2015 deal
230; President Curtsy Delivers A Really Sick Burn To Manchester Attackers: ‘Losers!’ (VIDEO);Conservatives have suggested repeatedly that if former President Barack Obama clicked his heels together three times while saying the words  radical Islamic terrorism  then terror attacks would never happen again. Ever. During former reality show star Donald Trump s speech in Saudi Arabia
231;Trump poised to lift federal coal ban
232;U.S. weakens retirement advice rule
233;WITH 15 DAYS REMAINING In Office…Obama Suddenly Takes An Interest In Chicago Crime…Discusses Commuting Crooked Politician Rod Blagojevich [VIDEO];Here s what these Chicago residents have to say about Barack and what he s done for the residents of Chicago. He s probably the the worst President ever elected. Have the same love for these (black) young people as you ve got for the ones across the border. Here s how Obama answered:;0
234;NEW YORK VOTERS GET IT: Protesters Let It Rip On Hillary! [Video];This is great! Protesters let it rip on Hillary! ;0
235; ‘Go F*ck Yourselves’: Larry Wilmore SLAMS Ted Cruz
236; California’s Jerry Brown Just Expanded Obamacare
237;Lebanon's Hariri accepts invitation to come to France
